name,brewer,price,ounce,calorie,rating,abv,bomber,quantity,pack
Amber,Abita,899,12,128,3,45,False,True,6
Golden,Abita,899,12,125,3,42,False,True,6
Jockomo IPA,Abita,899,12,190,3,65,False,True,6
Light,Abita,899,12,118,3,40,False,True,6
Purple Haze,Abita,899,12,128,3,42,False,True,6
Restoration Pale Ale,Abita,899,12,167,3,52,False,True,6
Turbodog,Abita,899,12,168,3,56,False,True,6
Wrought Iron IPA,Abita,899,12,209,3,69,False,True,6
Anchor Steam,Anchor,899,12,153,3,49,False,True,6
Two Hearted Ale,Bells,1099,12,210,3,70,False,True,6
Black Chocolate Stout,Brooklyn,799,12,320,3,100,False,True,6
Brooklyn Lager,Brooklyn,999,12,170,3,52,False,True,6
Brown Ale,Brooklyn,999,12,190,3,56,False,True,6
East India Pale Ale,Brooklyn,999,12,200,3,69,False,True,6
Greenmarket Wheat,Brooklyn,899,12,165,3,50,False,True,6
Half Ale,Brooklyn,999,12,102,3,34,False,True,6
Local 1,Brooklyn,999,26,243,3,90,False,True,6
Local 2,Brooklyn,999,26,242,3,90,False,True,6
Oktoberfest,Brooklyn,999,12,175,3,55,False,True,6
Pilsner,Brooklyn,999,12,155,3,51,False,True,6
Summer Ale,Brooklyn,999,12,150,3,50,False,True,6
Bud Lite,Budweiser,1499,12,110,3,42,False,True,6
Bud Lite Lime,Budweiser,1099,12,110,3,42,False,True,6
All Day IPA,Founders,999,12,147,3,47,False,True,6
Black Rye,Founders,1099,12,226,3,75,False,True,6
Black Rye,Founders,1099,12,270,3,75,False,True,6
Breakfast Stout,Founders,1099,12,270,3,83,False,True,6
Centennial IPA,Founders,999,12,224,3,72,False,True,6
Curmudgeon Old Ale,Founders,1199,12,311,3,98,False,True,6
Dark Penance,Founders,1199,12,272,3,89,False,True,6
Devil Dancer,Founders,1999,12,374,3,120,False,True,6
Dirty Bastard,Founders,999,12,273,3,85,False,True,6
Double Trouble,Founders,1199,12,278,3,94,False,True,6
Imperial Stout,Founders,1000,12,379,3,105,False,True,6
Kentucky Bourbon Stout,Founders,1000,12,347,3,112,False,True,6
Nitro Oatmeal Stout,Founders,1000,12,168,3,45,False,True,6
Pale Ale,Founders,999,12,163,3,54,False,True,6
Porter,Founders,999,12,244,3,65,False,True,6
Red’s Rye PA,Founders,1099,12,211,3,66,False,True,6
Rübæus,Founders,1099,12,223,3,57,False,True,6
Draught,Guinness,899,15,125,3,42,False,True,6
